State,Abbreviation,Population
Alabama,AL,5197720
Alaska,AK,743756
Arizona,AZ,7691740
Arkansas,AR,3107240
California,CA,39663800
Colorado,CO,6013650
Connecticut,CT,3707120
Delaware,DE,1067410
Florida,FL,23839600
Georgia,GA,11297300
Hawaii,HI,1450900
Idaho,ID,2032120
Illinois,IL,12778100
Indiana,IN,6968420
Iowa,IA,3264560
Kansas,KS,2989710
Kentucky,KY,4626150
Louisiana,LA,4607410
Maine,ME,1410380
Maryland,MD,6309380
Massachusetts,MA,7205770
Michigan,MI,10197600
Minnesota,MN,5833250
Mississippi,MS,2942920
Missouri,MO,6282890
Montana,MT,1143160
Nebraska,NE,2023070
Nevada,NV,3320570
New Hampshire,NH,1415860
New Jersey,NJ,9622060
New Mexico,NM,2139350
New York,NY,19997100
North Carolina,NC,11210900
North Dakota,ND,804089
Ohio,OH,11942600
Oklahoma,OK,4126900
Oregon,OR,4291090
Pennsylvania,PA,13139800
Rhode Island,RI,1121190
South Carolina,SC,5569830
South Dakota,SD,931033
Tennessee,TN,7307200
Texas,TX,31853800
Utah,UT,3564000
Vermont,VT,648278
Virginia,VA,8887700
Washington,WA,8059040
West Virginia,WV,1769460
Wisconsin,WI,5991540
Wyoming,WY,590169
